"Aasta","Maakond","Näitaja","value"
"2005","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2006","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",2
"2007","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2008","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",0
"2009","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2010","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2011","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",2
"2012","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",0
"2013","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2014","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",1
"2015","..Kohtla-Järve linn","Hukkunuga liiklusõnnetused",0
"1998","..Narva linn","Hukkunuga liiklusõnnetused",1
"1999","..Narva linn","Hukkunuga liiklusõnnetused",1
"2000","..Narva linn","Hukkunuga liiklusõnnetused",2
"2001","..Narva linn","Hukkunuga liiklusõnnetused",4
"2002","..Narva linn","Hukkunuga liiklusõnnetused",3
"2003","..Narva linn","Hukkunuga liiklusõnnetused",2
"2004","..Narva linn","Hukkunuga liiklusõnnetused",4
"2005","..Narva linn","Hukkunuga liiklusõnnetused",3
"2006","..Narva linn","Hukkunuga liiklusõnnetused",4
"2007","..Narva linn","Hukkunuga liiklusõnnetused",1
"2008","..Narva linn","Hukkunuga liiklusõnnetused",4
"2009","..Narva linn","Hukkunuga liiklusõnnetused",0
"2010","..Narva linn","Hukkunuga liiklusõnnetused",0
"2011","..Narva linn","Hukkunuga liiklusõnnetused",2
"2012","..Narva linn","Hukkunuga liiklusõnnetused",1
"2013","..Narva linn","Hukkunuga liiklusõnnetused",2
"2014","..Narva linn","Hukkunuga liiklusõnnetused",2
"2015","..Narva linn","Hukkunuga liiklusõnnetused",2
"1998","Jõgeva maakond","Hukkunuga liiklusõnnetused",19
"1999","Jõgeva maakond","Hukkunuga liiklusõnnetused",8
"2000","Jõgeva maakond","Hukkunuga liiklusõnnetused",13
"2001","Jõgeva maakond","Hukkunuga liiklusõnnetused",7
"2002","Jõgeva maakond","Hukkunuga liiklusõnnetused",13
